Sample_Index,col0,col1
540,25564,-7531
541,3035,31366
542,-31765,-1401
543,6121,-29034
544,30683,12944
545,-15389,25220
546,-21522,-16755
547,26594,-17770
548,9182,27273
549,-28691,5767
550,28640,1670
551,-8219,32375
552,-25614,-10627
553,12269,-25974
554,25569,20097
555,-21524,15994
556,-13325,-24953
557,27622,-6517
558,5092,30333
559,-35850,-386
560,8179,-25973
561,33763,13957
562,-25616,-16754
563,23525,-18792
564,10209,24205
565,-27665,6794
566,-7181,-26984
567,30693,1687
568,-8214,31368
569,-25609,-13681
570,18415,-33120
571,22501,24213
572,-28684,20108
573,28647,-6512
574,6117,29314
575,-29708,3713
576,4083,-33134
577,30693,10893
578,-16402,30335
579,-23558,-23925
580,28653,-16748
581,11240,29318
582,-25611,9858
583,-8198,-35180
584,29676,-1387
585,-30724,-12644
586,13302,-31060
587,25578,19107
588,-21515,20122
589,-12292,-25945
590,30702,-8532
591,7147,28319
592,-32772,-2399
593,1019,-29008
594,33771,12970
595,-17420,26270
596,24553,-19800
597,15330,25244
598,-32781,14997
599,-6153,-32091
600,30697,-4440
601,-7187,29338
602,-30723,-11616
603,18421,-25939
604,22507,20132
605,-23561,24217
606,-18431,-29016
607,30706,-9555
608,-29695,-338
609,3072,-33089
610,28658,6844
611,-11272,25264
612,-23548,-21829
613,23545,-19771
614,15346,26297
615,-34812,16050
616,-7160,-32062
617,34807,2753
618,-5126,32434
619,16371,-37179
620,28646,19132
621,-27660,23217
622,-16387,-24898
623,27632,-7486
624,7149,30388
625,-30723,2739
626,8186,-32061
627,29676,8895
628,-14348,30385
629,-24575,-22851
630,27636,-17722
631,-24575,11969
632,-7163,-30000
633,32757,-5421
634,-10,29381
635,-33785,-8502
636,15360,-25897
637,22517,25291
638,-23551,21185
639,-17398,-28976
640,27645,-9515
641,9209,34501
642,3064,-33066
643,33768,9938
644,-10258,36545
645,-26628,-15671
646,24561,-23851
647,17385,27336
648,-27657,10947
649,-5126,-33068
650,30700,-2346
651,-8207,32455
652,-36860,-6453
653,18427,-31013
654,-21498,23248
655,-20464,-25891
656,25604,-15643
657,10239,30423
658,-33776,726
659,15,-27932
660,31744,10975
661,-12282,26323
662,-21487,-19747
663,22534,-20760
664,18429,25308
665,-9214,-28949
666,31731,-4370
667,-12,31455
668,-26622,-4382
669,13308,-36108
670,28655,19179
671,-23557,19170
672,-22521,-24849
673,27642,-12554
674,4089,28393
675,-27641,2792
676,6148,-33031
677,-10231,27372
678,-24555,-20745
679,19468,-22781
680,19459,26359
681,-22514,14065
682,-5103,-28928
683,29699,-3326
684,-1020,32499
685,-28654,-9480
686,11277,-27898
687,26624,21244
688,-17399,-21753
689,27644,-10483
690,13302,24322
691,-31738,769
692,5,-33006
693,29687,6927
694,-11267,26371
695,-22519,-14581
696,21503,-22761
697,17399,23308
698,-24572,12039
699,-3066,-29930
700,2053,32519
701,-29676,774
702,13326,-29931
703,26625,16142
704,-17398,27393
705,-18413,-27889
706,30724,-16616
707,9216,28427
708,-33775,4873
709,-1006,-28904
710,31747,11027
711,-22514,-16612
712,19461,-23768
713,18428,18208
714,-22520,14106
715,-12274,-27864
716,28672,-1239
717,-1023,31514
718,-26610,-4323
719,16390,-26837
720,21500,14117
721,-20473,23322
722,-18416,-22746
723,14345,28441
724,-25578,5911
725,21,-31961
726,27656,4901
727,-14321,28440
728,-22502,-18654
729,15379,-20691
730,20489,22307
731,-27625,19226
732,-6118,-25817
733,25614,-216
734,-28644,-4309
735,8216,-25800
736,21518,15153
737,-19432,21287
738,-16352,-23757
739,28690,-12486
740,14347,23343
741,-28647,-208
742,-4069,-33983
743,23568,6974
744,-10219,29488
745,-18402,-13513
746,19477,22317
747,-24543,12072
748,-11225,-29897
749,29721,-6341
750,-3045,29485
751,-31701,-4304
752,12325,-27842
753,27672,13112
754,-14305,21294
755,-14298,-25797
756,26649,-12478
757,-30680,2881
758,39,-23731
759,29721,8010
760,-5092,27453
761,-27606,-16570
762,22559,-22702
763,18454,17226
764,-25565,16195
765,-12247,-27823
766,26652,-1198
767,3099,33602
768,-24537,-5307
769,23580,11072
770,-20442,22326
771,-19408,-20671
772,21542,-12472
773,10273,27451
774,-28625,6968
775,3118,-26810
776,28704,6979
777,-8156,21305
778,-24528,-13504
779,15401,-16567
780,-20429,21311
781,-10184,-23733
782,29738,-8368
783,2089,26436
784,-27593,-8375
785,9267,-24746
786,21545,17230
787,-18382,22340
788,-14279,-22704
789,24621,-8363
790,10280,21323
791,-25547,1866
792,23594,3913
793,-10193,26429
794,-24517,-13500
795,17459,-16563
796,23592,20292
797,-20430,12095
798,-9161,-22709
799,23596,-6321
800,-2003,25411
801,-22472,-6329
802,9268,-20654
803,-13253,21320
804,-14270,-18606
805,24630,-13479
806,8242,21327
807,-25537,3918
808,-1984,-22694
809,25652,5976
810,-6089,23373
811,-16321,-12460
812,17463,-19618
813,15408,18262
814,-24516,9042
815,23601,-2220
816,6190,26440
817,-20424,-5301
818,12338,-25768
819,21544,9044
820,-17359,18252
821,-15303,-18602
822,21551,-12451
823,8235,24402
824,-20427,849
825,2100,-23715
826,-7112,20308
827,-22461,-15524
828,13373,-16539
829,13367,21339
830,-21438,13141
831,-6075,-20640
832,25657,-3230
833,-1990,22360
834,-22459,-8355
835,11328,-19609
836,17464,14177
837,-17343,18265
838,21559,-12448
839,7220,21334
840,-21441,3925
841,62,-23711
842,22579,3936
843,-9160,23381
844,-16320,-13476
845,18487,-14492
846,13361,21338
847,-18374,6999
848,-4036,-22685
849,-1987,25431
850,-21432,-4262
851,7237,-18588
852,24633,16221
853,-16319,15190
854,-14264,-18592
855,22589,-11418
856,4155,21340
857,-22458,859
858,3141,-18587
859,24633,5987
860,-6084,24408
861,15413,-16543
862,13359,17241
863,-20423,10069
864,-6084,-21664
865,21554,-159
866,-973,22359
867,-19395,-5286
868,11320,-20635
869,16432,12128
870,-17351,15193
871,-13248,-15519
872,7229,24406
873,-20409,2901
874,3142,-21664
875,23611,8029
876,-10176,17237
877,-18359,-15523
878,12355,-14491
879,11326,20316
880,-19384,10072
881,71,-21661
882,29753,-1180
883,-1990,22362
884,9270,-20635
885,15407,14175
886,-15305,16216
887,-11203,-17567
888,21555,-7323
889,6192,20316
890,-21445,-3234
891,3130,-22678
892,19505,8039
893,-16327,20318
894,-16319,-13467
895,14394,18269
896,-16318,7002
897,-7098,-22682
898,19517,-153
899,-4033,21341
900,-20407,-5280
901,13379,-15512
902,17467,14178
903,-17340,10078
904,-7096,-22678
905,19519,-6290
906,2110,20325
907,1085,-20624
908,21555,11115
909,-8137,15204
910,-15297,-15508
911,18486,-13453
912,7219,18283
913,-20419,7016
914,-3009,-22668
915,22580,2931
916,-6089,23400
917,-17344,-8339
918,17464,12136
919,-18367,12131
920,-12217,-18579
921,21565,-4240
922,60,22374
923,-19386,-153
924,8258,-18575
925,19513,8046
926,-12225,18278
927,-15289,-15506
928,15424,-11404
929,5182,20331
930,4156,-23689
931,22577,886
932,-5068,19309
933,-20418,-12428
934,11321,-20609
935,13363,17271
936,-19395,11122
937,-8127,-19588
938,23606,-5249
939,-1993,19318
940,-23485,-1161
941,18490,10099
942,-12224,18283
943,-17335,-11407
944,18496,-10377
945,10299,21357
946,-21434,5995
947,1093,-20618
948,21563,6004
949,-10176,21354
950,-19382,-8337
951,18497,-17544
952,11324,16241
953,-6081,-20612
954,21557,-4225
955,2100,21365
956,-21441,-3209
957,8251,-20606
958,18482,14204
959,-10185,17268
960,-12227,-17539
961,19508,-11389
962,5170,20346
963,-23490,-133
964,21556,7032
965,-7112,21358
966,-17343,-10380
967,16441,-18562
968,12339,15223
969,-19395,10099
970,-7103,-20610
