Sample_Index,col0,col1
593,29434,2142
594,27469,-10735
595,21206,-14914
596,21677,-18347
597,19952,-22273
598,15507,-23877
599,15432,-24099
600,15394,-21585
601,12164,-20962
602,4793,-25224
603,-4359,-26829
604,-6259,-25673
605,-6655,-25320
606,-14001,-23207
607,-16674,-23116
608,-13369,-25854
609,-15387,-22959
610,-17710,-18318
611,-17397,-19488
612,-20541,-19092
613,-23706,-12530
614,-25378,-3393
615,-25212,8275
616,-16787,18862
617,-4496,24510
618,6718,27803
619,19696,23623
620,26471,9720
621,24844,-467
622,25696,-5522
623,25663,-13476
624,20273,-17919
625,17197,-18677
626,16247,-22716
627,13911,-24198
628,10068,-24017
629,4609,-27348
630,2951,-26350
631,3904,-22805
632,1786,-25160
633,4185,-28257
634,13550,-27355
635,22071,-21355
636,28483,-10748
637,29953,-1764
638,25661,6584
639,21994,15179
640,19091,17847
641,18719,18254
642,23493,16708
643,25860,8219
644,25173,2977
645,26109,1976
646,24996,-5508
647,22043,-13225
648,18998,-18195
649,13235,-24463
650,8053,-25392
651,4804,-25144
652,-1589,-29018
653,-10833,-25142
654,-19877,-14075
655,-25656,-3782
656,-23686,8296
657,-17507,17587
658,-14923,20890
659,-14527,22650
660,-13602,21175
661,-15444,20468
662,-19415,23203
663,-22942,17988
664,-26113,5039
665,-24861,-4739
666,-19879,-11510
667,-17977,-18527
668,-14728,-24238
669,-8138,-25170
670,-6868,-22677
671,-5180,-23291
672,4855,-24889
673,12569,-23935
674,13016,-24947
675,13998,-25772
676,17457,-22821
677,21173,-19877
678,24841,-16945
679,25950,-14295
680,20974,-15670
681,15220,-19800
682,14992,-23461
683,12129,-25044
684,7200,-23887
685,14821,-19248
686,25604,-10793
687,25347,-1328
688,23349,9649
689,15584,22519
690,-7820,25696
691,-26783,11286
692,-24595,-10131
693,-9628,-23032
694,8603,-22027
695,22951,-11592
696,24046,5055
697,8220,20960
698,-15064,18281
699,-24680,-4945
700,-8265,-25113
701,17985,-21471
702,23490,4025
703,1022,22669
704,-22442,10146
705,-20905,-15962
706,570,-26095
707,19010,-15146
708,22213,6952
709,13226,23751
710,-4164,25432
711,-22875,14849
712,-26294,-6741
713,-7772,-25953
714,16121,-19136
715,21261,6587
716,2427,23341
717,-19548,18911
718,-24821,-2994
719,-11444,-23442
720,11614,-22618
721,26037,-5384
722,20914,14434
723,4573,26537
724,-13790,17967
725,-23175,-5896
726,-9861,-22078
727,17051,-18506
728,27375,4709
729,4503,27219
730,-25391,15817
731,-20488,-17942
732,9756,-27598
733,24137,-7713
734,18062,12807
735,5078,22374
736,-12781,21857
737,-25836,9862
738,-24953,-7816
739,-16723,-20320
740,-6816,-24446
741,5216,-23694
742,15493,-20091
743,19794,-16037
744,20471,-15808
745,17537,-18976
746,6901,-22204
747,-7849,-22936
748,-20056,-16780
749,-27223,-5020
750,-26368,4657
751,-20129,13154
752,-16279,22619
753,-13777,25743
754,-9869,23382
755,-11290,22639
756,-20723,18995
757,-28214,10487
758,-27665,2661
759,-24892,-6452
760,-22359,-16328
761,-15641,-22002
762,-4839,-26042
763,6704,-26380
764,16694,-18354
765,22830,-7451
766,24787,4166
767,22262,15799
768,13847,21588
769,2019,24149
770,-8525,24591
771,-16304,18946
772,-20638,16403
773,-19145,21747
774,-14650,24962
775,-13002,24421
776,-10340,24114
777,-3552,24692
778,-30,27470
779,697,28401
780,4326,24967
781,6901,23271
782,6561,24605
783,4574,26287
784,-333,27275
785,-2906,24264
786,375,21267
787,2860,25583
788,-522,29191
789,-9021,25228
790,-18027,19957
791,-22994,11068
792,-23856,-4745
793,-17706,-18334
794,-1030,-26181
795,17951,-23051
796,26975,-1399
797,22184,19895
798,8057,24757
799,-4165,26799
800,-7534,28589
801,-10314,22403
802,-17916,16823
803,-20616,15556
804,-16850,14098
805,-17953,14125
806,-24106,15125
807,-25377,16119
808,-20248,18897
809,-16202,21419
810,-14436,21881
811,-5969,21719
812,8733,21645
813,19964,17058
814,27318,3236
815,27670,-11712
816,14972,-19083
817,1065,-23026
818,-4722,-24438
819,-10488,-21812
820,-18037,-19800
821,-22524,-14805
822,-25560,-3010
823,-27175,7332
824,-20700,15498
825,-2748,23627
826,18076,19328
827,27706,-810
828,17890,-19309
829,-6531,-21287
830,-24330,-4566
831,-18160,19845
832,4804,29476
833,25559,13146
834,26756,-13071
835,2910,-23627
836,-22680,-8234
837,-17170,18055
838,14324,21582
839,25058,-8676
840,-5103,-27946
841,-26065,-1850
842,-931,24135
843,23866,5669
844,6885,-22386
845,-20509,-19673
846,-23315,3517
847,-5650,22308
848,17234,17875
849,26944,-8439
850,10640,-26244
851,-15495,-16250
852,-22608,7899
853,-5088,23859
854,18900,17490
855,27483,-5506
856,12102,-22367
857,-11692,-23550
858,-23040,-16028
859,-23994,-2828
860,-24273,11281
861,-19715,18640
