Sample_Index,col0,col1
726,-68932,12961
727,-58663,-2397
728,-54540,-26959
729,-47348,-46392
730,-21737,-53533
731,790,-64765
732,27401,-51427
733,48882,-30931
734,52953,-4304
735,58045,25380
736,42665,41744
737,17057,57077
738,-5468,52956
739,-32076,54978
740,-42295,36529
741,-47391,41629
742,-40203,59009
743,-28924,52840
744,-29933,58956
745,-15589,54834
746,-2275,57878
747,-226,69109
748,5916,58841
749,13078,55742
750,17166,55715
751,12041,55688
752,6918,65896
753,-6390,57676
754,-4339,52531
755,6922,51482
756,1801,65786
757,-7411,62684
758,-32994,54466
759,-49353,34993
760,-52399,10412
761,-54420,-28486
762,-20617,-55083
763,18287,-58126
764,57172,-35580
765,59192,26871
766,37670,56540
767,-217,54466
768,-12498,69792
769,-21703,57476
770,-30903,44143
771,-46240,37981
772,-46217,32845
773,-33912,31806
774,-51294,35885
775,-58433,31774
776,-52263,44041
777,-43025,44020
778,-33792,51164
779,-26611,51140
780,1036,48045
781,37882,49046
782,52193,24459
783,68544,-11375
784,52135,-36956
785,15264,-49219
786,-5213,-56359
787,-15445,-52237
788,-35907,-50164
789,-44077,-38881
790,-58384,-24533
791,-60402,8231
792,-58325,25627
793,-30662,45061
794,19505,57321
795,58389,21471
796,56314,-24596
797,17394,-53241
798,-43000,-34792
799,-55261,19471
800,-17364,62449
801,37914,57302
802,67577,-3112
803,40934,-47120
804,-29707,-46073
805,-55279,15360
806,-6124,54246
807,58360,22492
808,30698,-55304
809,-48126,-44018
810,-41961,35837
811,37893,45032
812,44016,-23564
813,-18438,-60398
814,-59368,-17381
815,-36822,30732
816,14371,57328
817,57351,12267
818,50159,-47101
819,-7181,-55266
820,-52211,-11228
821,-36833,42000
822,17431,55285
823,60410,14319
824,51170,-35839
825,-29,-56291
826,-46086,-49099
827,-53227,-20417
828,-58318,8251
829,-50101,37929
830,-36771,48146
831,-1954,54264
832,15447,61403
833,47168,33739
834,59427,3018
835,49163,-36899
836,12293,-59397
837,-24559,-50156
838,-47064,-32732
839,-58299,-3034
840,-44965,38931
841,-20379,58359
842,13407,64472
843,44106,37830
844,58414,-57
845,34845,-44067
846,-18394,-57350
847,-55231,-14334
848,-42922,33778
849,24650,53209
850,58414,5079
851,30751,-46098
852,-4063,-59380
853,-39883,-37857
854,-60333,-7133
855,-52115,17435
856,-43901,41991
857,-13174,54253
858,25726,47063
859,44137,33735
860,59468,14273
861,60463,-7227
862,53269,-31787
863,27656,-45076
864,2055,-64500
865,-18416,-53210
866,-33759,-44996
867,-47048,-38833
868,-53166,-30626
869,-56210,-23446
870,-55159,16482
871,-30568,52297
872,4246,60460
873,35973,45078
874,53355,9234
875,43094,-46039
876,-20384,-51134
877,-52102,-5051
878,-40818,28727
879,4236,60442
880,36986,50178
881,62556,18425
882,68667,-5124
883,45093,-34802
884,19484,-56278
885,-14301,-60344
886,-27599,-62361
887,-26562,-62330
888,-43948,-40806
889,-51091,-32598
890,-59254,-24394
891,-51037,-28476
892,-44871,-36650
893,-18238,-59149
894,11453,-62190
895,36012,-43736
896,45206,-27338
897,55419,-22207
898,61533,-7867
899,58433,15678
900,54311,37164
901,39956,49428
902,46078,29958
903,33774,49390
904,34782,57554
905,17366,58550
906,-11300,57498
907,-22552,51329
908,-44034,32881
909,-63458,14442
910,-64450,2153
911,-63395,-7059
912,-53129,-37760
913,-38774,-39788
914,-26473,-53074
915,-4966,-68400
916,8342,-64272
917,38020,-39676
918,70754,-763
919,42062,36084
920,-11180,53466
921,-48020,31947
922,-44926,-24361
923,-6011,-53007
924,43120,-38652
925,55381,9472
926,41025,53478
927,-19381,60617
928,-49053,32953
929,-54146,-16191
930,-21367,-58146
931,32889,-41741
932,60508,-13062
933,36938,45284
934,-32678,39121
935,-58249,2256
936,-36727,-45849
937,8325,-56061
938,42097,-44775
939,53335,-10977
940,55356,14616
941,32812,36103
942,11303,48368
943,-16337,45274
944,-48057,31947
945,-65433,-16173
946,-38790,-38682
947,-2948,-50945
948,36970,-44779
949,59469,3348
950,38970,51451
951,-8130,59614
952,-27572,50374
953,-51099,11457
954,-50050,-36653
955,-16250,-60175
956,23675,-49910
957,56416,-23274
958,53318,30983
959,7235,54509
960,-50084,22754
961,-44942,-24338
962,-14215,-55031
963,40038,-41698
964,58442,1309
965,34873,46343
966,-5060,62697
967,-44974,35032
968,-53140,-19230
969,-27526,-50949
970,22639,-60135
971,56404,-2789
972,21578,52482
973,-38819,48363
974,-65411,-20235
975,-4992,-61165
976,58468,-19171
977,45134,38155
978,-7086,62701
979,-49046,30942
980,-44928,-29459
981,8316,-62196
982,50276,-25319
983,45134,36104
984,-23462,54510
985,-56202,-25349
986,32870,-61159
987,60489,17681
988,-8115,61683
989,-62356,-8968
990,-2962,-66279
991,64591,-10977
992,45113,43274
993,-35765,42230
994,-49053,-27388
995,13405,-63197
996,55362,-10967
997,29748,59660
998,-43958,31997
999,-43936,-37616
1000,26707,-49879
1001,61493,2344
1002,10288,58636
1003,-43962,20738
1004,-41893,-31470
1005,-16285,-57042
1006,29781,-39614
1007,61495,-9913
1008,49183,38197
1009,10266,59672
1010,-30679,48385
1011,-54204,-2813
1012,-29613,-48869
1013,8271,-51915
1014,55348,-36537
1015,62486,11586
1016,40962,38192
1017,16378,55573
1018,-12287,48382
1019,-37868,42218
1020,-45014,7399
1021,-53180,-15121
1022,-51107,-33536
1023,-17306,-65248
1024,15455,-53957
1025,49223,-35507
1026,64552,6474
1027,36886,40247
1028,17422,55580
1029,3085,59647
1030,-22504,55524
1031,-37845,48333
1032,-47038,43192
1033,-52132,34983
1034,-52106,34966
1035,-50033,36996
1036,-54102,28790
1037,-47934,16494
1038,-65310,3181
1039,-49925,-17290
1040,-40689,-31610
1041,-47833,-29547
1042,-48833,-29532
1043,-54950,-27470
1044,-47758,-40762
1045,-45687,-43812
1046,-50782,-48908
1047,-49733,-31484
1048,-45614,-26351
1049,-55826,-29408
1050,-45563,-38605
1051,-33258,-49844
1052,-12771,-53913
1053,13847,-59004
1054,15888,-62045
1055,18951,-53826
1056,35318,-50729
1057,48607,-43539
1058,55748,-23047
1059,56745,-12800
1060,71047,-1535
1061,59754,3584
1062,55631,23029
1063,44346,48606
1064,13620,56771
1065,-39608,44462
1066,-51870,9642
1067,-47750,-21067
1068,-35444,-30268
1069,-32356,-47652
1070,-5729,-65028
1071,29073,-35314
1072,45435,-31202
1073,54625,-36304
1074,42317,-27074
1075,59696,-2496
1076,58644,8764
1077,44287,32301
1078,31984,56850
1079,5358,56823
1080,-19208,60890
1081,-18175,62908
1082,-22260,60831
1083,-27366,53637
1084,-41681,46447
1085,-39613,39260
1086,-34476,49476
1087,-18083,60711
1088,-27285,61705
1089,-35459,48370
1090,-39535,43229
1091,-39515,37067
1092,-51777,21697
1093,-65057,9405
1094,-57860,8377
1095,-56808,23726
1096,-50639,19621
1097,-56755,27800
1098,-46492,39045
1099,-21905,52332
1100,-8588,59471
1101,12910,55348
1102,33374,57368
1103,45640,35847
1104,59947,22524
1105,62989,8185
1106,57841,-16382
1107,45531,-37867
1108,19922,-54224
1109,-16933,-54197
1110,-50700,-29606
1111,-53745,9302
1112,-33248,42050
1113,18967,54312
1114,39428,46098
1115,54762,24582
1116,58830,-7158
1117,57778,-27624
1118,47515,-40916
1119,23952,-52154
1120,10635,-58269
1121,-14957,-55170
1122,-36443,-43884
1123,-50754,-31580
1124,-68128,-8024
1125,-59906,12450
1126,-46571,40079
1127,-28125,63600
1128,-15829,67663
1129,6696,60466
1130,6693,55319
1131,4643,57339
1132,11806,63453
1133,6683,65470
1134,12821,55204
1135,43520,49037
1136,31217,45943
1137,49625,47968
1138,54719,38734
1139,58787,15175
1140,61829,12098
1141,73058,-2236
1142,68929,5954
1143,58661,17210
1144,44304,32555
1145,36095,49939
1146,34031,45821
1147,34015,45799
1148,21717,50895
1149,17613,51894
1150,-2865,49822
1151,-27427,64127
1152,-13084,61026
1153,-20242,54856
1154,-28420,50736
1155,-37617,41500
1156,-47833,14869
1157,-53950,-24031
1158,-32430,-56771
1159,-12967,-58790
1160,12627,-58761
1161,38209,-51567
1162,54567,-39259
1163,51470,-14675
1164,59633,-3409
1165,63698,10922
1166,63667,24223
1167,65683,25235
1168,51322,27270
1169,28780,50798
1170,7273,68173
1171,-19341,64046
1172,-26496,53780
1173,-24436,44543
1174,-32612,42475
1175,-39760,45525
1176,-45881,42433
