Sample_Index, I, Q
636, 127, 122
637, 127, 124
638, 127, 128
639, 124, 128
640, 124, 127
641, 125, 127
642, 129, 125
643, 127, 123
644, 123, 130
645, 127, 126
646, 126, 127
647, 128, 126
648, 128, 128
649, 126, 129
650, 128, 127
651, 130, 131
652, 129, 128
653, 132, 125
654, 132, 122
655, 127, 125
656, 128, 128
657, 127, 130
658, 130, 127
659, 127, 126
660, 124, 128
661, 131, 127
662, 130, 127
663, 127, 125
664, 128, 122
665, 123, 125
666, 123, 126
667, 123, 128
668, 125, 127
669, 125, 125
670, 125, 127
671, 128, 128
672, 125, 125
673, 123, 124
674, 129, 127
675, 132, 129
676, 131, 127
677, 131, 125
678, 127, 122
679, 127, 127
680, 128, 131
681, 128, 129
682, 128, 129
683, 130, 128
684, 131, 122
685, 127, 124
686, 127, 123
687, 129, 123
688, 126, 125
689, 129, 125
690, 128, 126
691, 128, 128
692, 128, 124
693, 125, 127
694, 123, 129
695, 128, 128
696, 126, 126
697, 129, 125
698, 127, 124
699, 124, 124
700, 125, 123
701, 125, 130
702, 126, 132
703, 126, 126
704, 128, 122
705, 130, 120
706, 124, 119
707, 127, 124
708, 128, 126
709, 127, 126
710, 127, 127
711, 126, 127
712, 124, 126
713, 127, 123
714, 124, 122
715, 123, 127
716, 125, 122
717, 132, 124
718, 132, 126
719, 126, 128
720, 125, 128
721, 128, 127
722, 123, 125
723, 123, 126
724, 127, 130
725, 128, 130
726, 125, 131
727, 125, 127
728, 127, 125
729, 128, 128
730, 128, 128
731, 126, 127
732, 123, 125
733, 125, 130
734, 134, 127
735, 132, 129
736, 128, 125
737, 126, 123
738, 122, 126
739, 125, 131
740, 128, 129
741, 124, 127
742, 128, 129
743, 123, 128
744, 124, 127
745, 125, 128
746, 127, 129
747, 131, 129
748, 129, 127
749, 125, 127
750, 127, 128
751, 128, 127
752, 125, 128
753, 126, 127
754, 129, 128
755, 132, 127
756, 132, 129
757, 130, 127
758, 128, 124
759, 125, 124
760, 126, 124
761, 125, 123
762, 128, 127
763, 130, 127
764, 125, 127
765, 123, 130
766, 126, 134
767, 131, 131
768, 134, 127
769, 130, 127
770, 127, 130
771, 126, 131
772, 127, 127
773, 128, 127
774, 128, 127
775, 128, 129
776, 129, 128
777, 130, 126
778, 125, 125
779, 124, 128
780, 128, 133
781, 126, 129
782, 127, 125
783, 126, 126
784, 126, 126
785, 127, 124
786, 130, 124
787, 128, 126
788, 124, 125
789, 126, 123
790, 126, 122
791, 127, 121
792, 125, 128
793, 124, 128
794, 128, 127
795, 134, 125
796, 130, 123
797, 126, 121
798, 122, 128
799, 124, 124
800, 124, 127
801, 128, 126
802, 125, 128
803, 128, 124
804, 128, 120
805, 125, 121
806, 123, 125
807, 128, 127
808, 128, 128
809, 127, 126
810, 126, 128
811, 127, 129
812, 129, 128
813, 127, 130
814, 127, 128
815, 128, 122
816, 123, 121
817, 123, 126
818, 121, 130
819, 125, 130
820, 130, 127
821, 126, 131
822, 128, 128
823, 125, 123
824, 123, 123
825, 120, 126
826, 123, 129
827, 123, 127
828, 131, 129
829, 131, 125
830, 129, 126
831, 130, 128
832, 127, 126
833, 128, 124
834, 124, 128
835, 122, 121
836, 122, 121
837, 124, 124
838, 124, 129
839, 126, 128
840, 131, 126
841, 126, 127
842, 129, 126
843, 132, 127
844, 128, 125
845, 124, 124
846, 125, 129
847, 125, 130
848, 125, 127
849, 128, 134
850, 128, 131
851, 126, 126
852, 126, 126
853, 125, 126
854, 128, 126
855, 126, 128
856, 126, 124
857, 125, 121
858, 121, 121
859, 119, 123
860, 124, 125
861, 127, 128
862, 127, 127
863, 127, 128
864, 126, 126
865, 123, 127
866, 128, 127
867, 119, 129
868, 124, 132
869, 129, 127
870, 128, 126
871, 127, 128
872, 126, 127
873, 127, 130
874, 125, 128
875, 129, 128
876, 129, 128
877, 128, 127
878, 127, 126
879, 127, 130
880, 128, 127
881, 124, 121
882, 123, 121
883, 121, 121
884, 121, 128
885, 125, 132
886, 123, 128
887, 128, 128
888, 126, 128
889, 124, 126
890, 121, 125
891, 120, 125
892, 120, 130
893, 121, 131
894, 128, 128
895, 125, 126
896, 125, 126
897, 124, 125
898, 121, 124
899, 122, 127
900, 126, 126
901, 128, 122
902, 127, 122
903, 129, 125
904, 127, 126
905, 127, 124
906, 129, 127
907, 128, 128
908, 128, 125
909, 130, 123
910, 127, 125
911, 124, 126
912, 122, 124
913, 127, 128
914, 127, 123
915, 128, 125
916, 127, 125
917, 125, 121
918, 126, 121
919, 123, 125
920, 125, 130
921, 128, 126
922, 128, 126
923, 127, 127
924, 129, 127
925, 125, 126
926, 126, 126
927, 128, 130
928, 133, 128
929, 127, 125
930, 126, 128
931, 129, 126
932, 130, 125
933, 125, 126
934, 124, 123
935, 129, 128
936, 128, 125
937, 129, 123
938, 129, 124
939, 124, 124
940, 122, 129
941, 123, 129
942, 125, 127
943, 125, 127
944, 127, 125
945, 126, 127
946, 124, 127
947, 126, 129
948, 130, 128
949, 135, 127
950, 130, 124
951, 127, 126
952, 131, 124
953, 129, 124
954, 124, 124
955, 130, 127
956, 129, 128
957, 127, 122
958, 128, 121
959, 124, 121
960, 124, 123
961, 126, 126
962, 125, 132
963, 125, 128
964, 132, 126
965, 128, 126
966, 127, 126
967, 126, 127
968, 126, 126
969, 128, 127
970, 129, 128
971, 125, 125
972, 127, 127
973, 127, 124
974, 125, 126
975, 123, 126
976, 123, 128
977, 126, 128
978, 126, 125
979, 128, 125
980, 124, 125
981, 124, 129
982, 122, 128
983, 126, 128
984, 127, 127
985, 126, 129
986, 127, 126
987, 125, 126
988, 124, 125
989, 120, 127
990, 122, 130
991, 126, 127
992, 125, 127
993, 127, 127
994, 131, 126
995, 124, 125
996, 126, 127
997, 128, 126
998, 128, 129
999, 127, 130
